gsis_id,season,games,att,cmp,yds,td,int,epa,passing_air_yards,passing_yards_after_catch,passing_first_downs,pacr,dakota,sacks,sack_yards,passing_2pt_conversions
00-0019087,2001,3,5,3,23.0,1,0.0,-1.9286890552029945,0.0,0.0,3.0,0.0,0.0,2.0,13.0,0
00-0019087,2002,6,57,37,448.0,2,3.0,9.95069134588569,0.0,0.0,24.0,0.0,0.4533391154836164,3.0,11.0,0
00-0019087,2003,10,243,136,1655.0,8,12.0,-51.258268258546934,0.0,0.0,72.0,0.0,0.4966687975440836,19.0,121.0,0
00-0019087,2004,2,12,6,68.0,0,0.0,-4.510312221440984,0.0,0.0,2.0,0.0,0.13680021878103105,1.0,6.0,0
00-0019192,2000,1,1,0,0.0,0,0.0,-1.510354275116697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0019192,2001,1,33,15,201.0,1,2.0,-9.854566605645232,0.0,0.0,11.0,0.0,0.024069092037385886,1.0,2.0,0
00-0019192,2003,2,18,14,160.0,0,1.0,2.522448102827184,0.0,0.0,7.0,0.0,0.15758205188341487,1.0,7.0,0
00-0019242,2003,16,1,1,11.0,0,0.0,3.052391023375094,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
00-0019242,2008,11,3,2,17.0,0,0.0,0.2574104535742663,37.0,0.0,0.0,2.0,0.0,1.0,0.0,0
00-0019278,2000,1,1,1,8.0,0,0.0,-0.1423094291239977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0019442,2000,1,4,2,24.0,1,0.0,3.775220972893294,0.0,0.0,1.0,0.0,0.0,2.0,21.0,0
00-0019442,2001,4,49,26,314.0,3,5.0,-6.43090896049042,0.0,0.0,17.0,0.0,0.36712955998177527,5.0,22.0,0
00-0019456,2002,1,1,0,0.0,0,0.0,-2.5073560446035117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0019490,2004,1,1,0,0.0,0,1.0,-1.101722882129252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0019539,2008,7,1,0,0.0,0,0.0,-0.7305266703478992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0019553,2000,7,53,21,150.0,0,1.0,-51.554246855783276,0.0,0.0,5.0,0.0,0.20441332625753827,13.0,89.0,0
00-0019553,2001,3,98,48,418.0,1,6.0,-45.97499188548173,0.0,0.0,20.0,0.0,0.09999883704998502,10.0,65.0,0
00-0019559,2000,1,5,2,67.0,1,0.0,7.07823493971955,0.0,0.0,2.0,0.0,0.29375122472513393,1.0,4.0,0
00-0019559,2001,2,20,10,92.0,1,0.0,-2.750727949256543,0.0,0.0,5.0,0.0,0.06107016372752193,1.0,8.0,0
00-0019559,2002,15,399,275,3120.0,22,6.0,117.21764742421118,0.0,0.0,167.0,0.0,1.9941775278379963,22.0,135.0,1
00-0019559,2003,10,297,189,2139.0,13,12.0,22.58380983818722,0.0,0.0,116.0,0.0,0.9289318185485471,25.0,160.0,1
00-0019559,2004,13,370,242,2673.0,16,9.0,29.422586842702458,0.0,0.0,136.0,0.0,1.3902690474242099,18.0,103.0,0
