gsis_id,player,forecast_year,att_2023,epa_2023,mean,median,q05,q25,q75,q95,iqr,sigma_att,sigma_epa_att
00-0026498,Matthew Stafford,2024,521,55.03210787712951,40.63495489351179,40.64928129519198,-17.14784105836795,20.73304042126697,60.674627925318696,98.4725248683757,39.941587504051725,87.7866732482784,0.1370565752139542
00-0026498,Matthew Stafford,2025,521,55.03210787712951,37.446758127205484,38.644164330505276,-21.385955702361517,18.560406826604964,57.29135314494796,94.38471992374201,38.730946318343,87.7866732482784,0.1370565752139542
00-0029263,Russell Wilson,2024,447,-16.336197524169002,43.84589607685862,43.98545524917998,-19.749513379822528,23.40885653522097,65.20236823763028,105.34996819713955,41.79351170240931,81.02154595594254,0.1093870295858951
00-0029263,Russell Wilson,2025,447,-16.336197524169002,43.128022761164274,42.98459171107629,-20.037755596568633,21.744959285967184,64.1312212697863,103.29887810158466,42.38626198381911,81.02154595594254,0.1093870295858951
00-0029604,Kirk Cousins,2024,311,37.10304547110406,25.817256502615013,25.363158485846522,-36.44273597760458,4.82867879416658,46.168270109768414,87.30404222768017,41.33959131560184,87.7866732482784,0.19705682879231526
00-0029604,Kirk Cousins,2025,311,37.10304547110406,24.208459578418505,23.766706894636215,-36.48194526365863,3.2156526999628228,45.123182824075215,85.87425726592448,41.90753012411239,87.7866732482784,0.19705682879231526
00-0030565,Geno Smith,2024,499,32.440536514174156,22.841537106781956,22.927220408834323,-38.32294818438337,1.8359959498795213,43.29464294989978,85.67273865995797,41.458647000020264,87.7866732482784,0.04455857875735075
00-0030565,Geno Smith,2025,499,32.440536514174156,22.03826044940368,21.986271037342938,-38.42651770185322,0.8969698751725943,43.088083177977204,81.01750794296916,42.19111330280461,87.7866732482784,0.04455857875735075
00-0031280,Derek Carr,2024,548,25.91905731362155,41.92528411813952,41.82565344825181,-17.522010748452608,22.06666697801568,61.97081049788212,102.74335909580572,39.90414351986644,66.15701021055894,0.10228846403752476
00-0031280,Derek Carr,2025,548,25.91905731362155,41.35576736427055,40.64011832065577,-18.494547197971173,20.85298520181523,59.79928934743323,100.84936830119354,38.946304145618,66.15701021055894,0.10228846403752476
00-0033077,Dak Prescott,2024,590,118.68906478811256,82.20730838599829,82.4833216978342,20.57862673245303,60.91930619930599,103.54588102001753,144.10354464616822,42.62657482071154,87.7866732482784,0.1655949885997702
00-0033077,Dak Prescott,2025,590,118.68906478811256,84.78059083410582,84.25260252075779,23.496757162734845,63.216315087435945,105.15950994820341,146.39685649204253,41.94319486076746,87.7866732482784,0.1655949885997702
00-0033106,Jared Goff,2024,605,81.67725091908035,69.01111152563496,69.74184953634182,7.10244748978096,48.38140348195856,90.42051446636955,131.417248626373,42.039110984410996,72.61313012580209,0.19821250622502237
00-0033106,Jared Goff,2025,605,81.67725091908035,71.412922850074,72.06313069672605,9.568982594711548,50.540970087183545,92.1263858824121,134.6082232349913,41.58541579522855,72.61313012580209,0.19821250622502237
00-0033873,Patrick Mahomes,2024,597,50.961515690338,86.33935507010945,85.77321237450818,20.978697850255255,62.718629150129004,110.04069523712428,153.39604803059066,47.32206608699528,83.02891062756395,0.13691170262239527
00-0033873,Patrick Mahomes,2025,597,50.961515690338,87.74300664328548,87.26999841616292,21.323957312662415,62.89873739897284,111.22774446852304,155.30220115642814,48.3290070695502,83.02891062756395,0.13691170262239527
00-0033949,Joshua Dobbs,2024,417,-80.74965717074797,0.8994826919466741,1.3662850944552594,-66.53466926807884,-22.34995615170022,24.459504561454725,68.55322425553845,46.80946071315495,87.7866732482784,0.18044245222701363
00-0033949,Joshua Dobbs,2025,417,-80.74965717074797,3.446333867783569,4.14218660397067,-59.82095731197768,-20.350446830135567,27.235927660135523,68.12317910944219,47.58637449027109,87.7866732482784,0.18044245222701363
00-0034796,Lamar Jackson,2024,457,58.018588350006326,54.28179444196326,55.15042801022041,-5.343404223201234,35.15694485771509,75.6788057298518,113.60337192631354,40.52186087213671,82.00406493989591,0.19821250622502237
00-0034796,Lamar Jackson,2025,457,58.018588350006326,57.187305511738174,58.078725787965986,-3.7868911178681546,38.30046914564136,77.66946115470014,113.39360118774786,39.368992009058786,82.00406493989591,0.19821250622502237
00-0034855,Baker Mayfield,2024,566,50.66617850090984,37.26083569237834,36.968036174464345,-25.725352705277395,15.95401653497317,59.276658582391086,100.75302498385143,43.322642047417915,87.7866732482784,0.19821250622502237
00-0034855,Baker Mayfield,2025,566,50.66617850090984,38.4254888911993,37.92163493064675,-23.02911815692489,16.467511264991458,59.819424593481266,99.79636654500426,43.35191332848981,87.7866732482784,0.19821250622502237
