,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
nu,20.455,12.215,5.172,42.848,0.19,0.259,3781.0,3278.0,1.0
sigma_player,0.087,0.007,0.074,0.1,0.0,0.0,962.0,1929.0,1.0
beta_ryoe,0.091,0.011,0.071,0.112,0.0,0.0,2889.0,3056.0,1.0
sigma_obs,0.073,0.004,0.065,0.081,0.0,0.0,2200.0,2776.0,1.0
