,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ell,5.749,1.323,3.28,8.302,0.032,0.018,1676.0,2036.0,1.0
eta,24.208,5.167,14.691,33.772,0.085,0.087,3580.0,2646.0,1.0
sigma_player,17.661,1.005,15.708,19.525,0.018,0.014,3093.0,3155.0,1.0
beta_vol,1.227,0.952,-0.537,3.016,0.012,0.016,6408.0,2911.0,1.0
beta_epa_att,4.174,1.012,2.244,6.002,0.011,0.018,9030.0,2788.0,1.0
beta_dakota,15.235,0.966,13.463,17.094,0.013,0.015,5766.0,3070.0,1.0
beta_pacr,1.76,0.204,1.384,2.142,0.003,0.003,4428.0,3416.0,1.0
sigma_obs,33.153,0.7,31.854,34.467,0.01,0.01,5220.0,3321.0,1.0
