,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
nu,3.009,0.386,2.302,3.723,0.007,0.006,2990.0,3129.0,1.0
sigma_player,17.292,1.049,15.379,19.289,0.022,0.014,2315.0,2962.0,1.0
beta_vol,-2.984,0.413,-3.791,-2.24,0.009,0.005,2334.0,2717.0,1.0
beta_epa_att,4.164,1.013,2.321,6.121,0.013,0.018,5782.0,2437.0,1.0
beta_dakota,13.922,0.981,12.175,15.816,0.014,0.015,4980.0,3105.0,1.0
beta_age,2.039,0.321,1.44,2.629,0.006,0.004,3026.0,2894.0,1.0
beta_age2,-0.303,0.049,-0.397,-0.212,0.001,0.001,3074.0,2640.0,1.0
beta_pacr,1.928,0.231,1.488,2.35,0.005,0.003,2182.0,2527.0,1.0
sigma_obs,24.652,1.019,22.74,26.659,0.02,0.015,2662.0,2714.0,1.0
