gsis_id,player,forecast_year,carries_2023,rushing_epa_2023,epa_per_att_2023,ryoe_per_att_2023,has_ngs,epa_per_att_mean,epa_per_att_q25,epa_per_att_q75,mean,median,q05,q25,q75,q95,iqr
00-0031687,Raheem Mostert,2024,209,17.179602537857136,0.082199055205058,0.6140348002523186,1,0.04085675228993561,-0.02359392730387578,0.10471975118541867,8.663881690574962,8.058085816900572,-24.659877348180878,-4.5601913256486775,21.4248300804162,43.63131394941138,25.985021406064877
00-0031687,Raheem Mostert,2025,209,17.179602537857136,0.082199055205058,0.6140348002523186,1,0.04003042921744459,-0.031823661980095855,0.11411664682203165,8.267414380493747,6.480407648626047,-29.692025093687192,-5.8511151297115855,22.006675022845098,51.76836460848717,27.85779015255668
00-0032764,Derrick Henry,2024,280,-2.098503159038166,-0.007494654139422,0.3052072020871186,1,-0.033419964039030685,-0.09361239487537756,0.025717108849192538,-9.44997191928819,-8.355822232232935,-53.00349889505434,-25.47459504927491,6.7488953489413674,31.879268466046383,32.22349039821628
00-0032764,Derrick Henry,2025,280,-2.098503159038166,-0.007494654139422,0.3052072020871186,1,-0.030271761924182208,-0.09208269129378441,0.033976463267247625,-8.30561157022471,-7.41381286456012,-56.5968561365932,-24.41085753553164,8.282585088498102,35.62984738181305,32.69344262402974
00-0033045,Ezekiel Elliott,2024,184,-27.282744640982337,-0.1482757860922953,-0.3877091198563719,1,-0.0848604227501385,-0.14038027816602233,-0.030091969602372315,-15.71846048314638,-14.529395312663627,-44.92956172051069,-25.863459885364506,-5.0780812369110855,9.582359187560026,20.78537864845342
00-0033045,Ezekiel Elliott,2025,184,-27.282744640982337,-0.1482757860922953,-0.3877091198563719,1,-0.08403593305535396,-0.14366716095908375,-0.02524384576738329,-15.538886110733852,-13.555858284541646,-47.700228945280514,-25.8225357179816,-3.609434590376755,10.417547209229634,22.213101127604848
00-0033280,Christian McCaffrey,2024,272,14.388323717255844,0.0528982489604994,1.3232235299779604,1,0.07098099409705423,0.006270107574645212,0.1338973637287941,19.385695287694688,17.85749097885172,-22.266811970523413,1.3867490495942705,36.12656969643102,67.64035042072054,34.73982064683675
00-0033280,Christian McCaffrey,2025,272,14.388323717255844,0.0528982489604994,1.3232235299779604,1,0.07078913029755128,0.0027542705226520866,0.13805746835474603,19.02752888228346,16.808554235569176,-28.38282190120991,0.4112776186386052,36.06644602712134,73.9808498690471,35.65516840848273
00-0033553,James Conner,2024,208,13.943058458103696,0.0670339348947293,1.0193930426618725,1,0.05766984956621901,-0.004532024588982992,0.11976290828184774,12.004391906164942,10.207060049017944,-19.079672041649076,-0.8177415317362726,23.896047477040085,48.311073826424426,24.71378900877636
00-0033553,James Conner,2025,208,13.943058458103696,0.0670339348947293,1.0193930426618725,1,0.05428320260138439,-0.020693891441579466,0.12477656412634774,11.02783330739291,9.076933211972367,-25.589962100199262,-3.10566465568012,24.338496006273218,53.10266997972026,27.444160661953337
00-0033699,Austin Ekeler,2024,179,-41.1234789901547,-0.2297401060902497,-0.2695866735300961,1,-0.06577537355126663,-0.1271174381056345,-0.0035900126753326597,-11.721623815422673,-11.085642194636122,-42.03003976838107,-22.293370882231716,-0.5997171754975428,16.55521496775444,21.693653706734175
00-0033699,Austin Ekeler,2025,179,-41.1234789901547,-0.2297401060902497,-0.2695866735300961,1,-0.06280179818485385,-0.1308611645200528,0.009054076172510719,-11.414888491524549,-9.644943676600844,-48.05447591716258,-23.263083503941765,1.383025997155052,19.821849263971217,24.646109501096817
