,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
nu,2.928,0.371,2.275,3.613,0.006,0.006,3840.0,3199.0,1.0
ell,5.322,1.218,3.075,7.592,0.027,0.017,2013.0,2694.0,1.0
eta,22.849,4.936,14.631,32.73,0.084,0.083,3440.0,2977.0,1.0
sigma_player,16.34,1.076,14.217,18.296,0.022,0.013,2365.0,3432.0,1.0
beta_vol,1.198,0.935,-0.465,3.016,0.012,0.017,5841.0,2969.0,1.0
beta_epa_att,4.043,0.99,2.31,6.023,0.011,0.017,7973.0,3019.0,1.0
beta_dakota,14.086,0.983,12.172,15.877,0.012,0.015,6541.0,3406.0,1.0
beta_pacr,1.986,0.234,1.542,2.411,0.004,0.003,3569.0,3292.0,1.0
sigma_obs,24.344,1.02,22.336,26.186,0.016,0.014,4020.0,3329.0,1.0
